Bottle,Average,Low,High
Smooth Ambler Single Barrel Rye 4 Year,90,90,90
Stellum Bourbon,70,70,70
St. Cloud 7 Year,147,130,160
Stagg Jr. B1,950,900,1100
Stagg Jr. B2,808,650,1000
Stagg Jr. B3,659,600,720
Stagg Jr. B4,588,500,635
Stagg Jr. B5,566,450,700
Stagg Jr. B6,516,465,650
Stagg Jr. B7,475,400,600
Stagg Jr. B8,439,375,475
Stagg Jr. B9,432,350,480
Stagg Jr. B10,384,350,420
Stagg Jr. B11,377,325,450
Stagg Jr. B12,430,400,450
Stagg Jr. B13,305,275,350
Stagg Jr. B14,269,250,300
Stagg Jr. B15,299,230,375
Stagg Jr. B16,285,225,350
Stagg Jr. B17,261,235,275
Stagg Jr. SP,415,350,485
Stagg B18,246,225,260
Stagg B19,265,250,280
Stagg 22A,248,220,280
Stagg 22B,230,190,260
Stagg 23A,280,235,320
Stagg SP,386,330,450
Stellum Cask Strength,100,100,100
Stranahans Diamond Peak Batch 12,280,280,280
Sweetens Cove 22,200,200,200
Templeton Rye 10 Year,80,80,80
The Last Drop 1980 Buffalo Trace,10375,9850,10900
The Presidential Dram 2017 8 Year Bourbon,250,250,250
Thomas H. Handy (2006),3500,3500,3500
Thomas H. Handy (2007),2800,2800,2800
Thomas H. Handy (2008),1363,1200,1500
Thomas H. Handy (2009),1025,1000,1100
Thomas H. Handy (2010),989,925,1100
Thomas H. Handy (2011),1021,950,1200
Thomas H. Handy (2012),800,800,800
Thomas H. Handy (2013),919,775,1000
Thomas H. Handy (2014),900,750,950
Thomas H. Handy (2015),763,675,900
Thomas H. Handy (2016),778,700,850
Thomas H. Handy (2017),733,675,775
Thomas H. Handy (2018),690,630,750
Thomas H. Handy (2019),703,650,750
Thomas H. Handy (2020),645,550,715
Thomas H. Handy (2021),641,550,750
Thomas H. Handy (2022),621,585,650
Three Chord Whiskey Drummer 15 Year,275,275,275
Tin Cup 14er,90,90,90
Traverse City 8 Year SiB,175,175,175
Traverse City 15 Year Barrel Proof,450,450,450
Tumblin Dice 5 year SiB,75,60,90
Tumblin Dice 11 year,210,200,220
Uncle Nearest Single Barrel,150,150,150
Van Winkle Family Reserve 17 Year (1991),17500,17500,17500
Van Winkle Reserve Family Rye,1720,1625,1950
Very Old Carter 27 Year,5610,4250,7000
Very Olde Saint Nick Ancient 12 Cask,450,450,450
Very Olde Saint Nick 8 Year,118,110,125
Very Olde Saint Nick 8 Year Rye,100,100,100
Very Olde Saint Nick 15 Year,2500,2500,2500
Very Olde Saint Nick 19 Year,3000,3000,3000
Very Olde Saint Nick Harvest Rye,170,140,200
Very Olde Saint Nick Summer Rye,310,170,450
Very Olde Saint Nick Lost Barrel 17 Year,1095,975,1300
W.B. Saffell,86,60,100
Weller 12 Year,229,200,250
Weller Antique 107,109,100,135
Weller Antique 107 SP,227,200,260
Weller Centennial 10 Year Stitzel-Weller,1800,1800,1800
Weller CYPB,526,485,550
Weller Full Proof,241,220,280
Weller Full Proof Store Pick,251,225,300
Weller Single Barrel,579,550,625
Weller Special Reserve,57,42,75
Weller Special Reserve SP,185,150,220
WhistlePig 12 Year,120,120,120
WhistlePig 15 Year,217,180,245
WhistlePig 18 Year,438,400,500
WhistlePig 18 Year #3,525,525,525
WhistlePig 21 Year,1250,1250,1250
WhistlePig Boss Hog II (Spirit of Mortimer),3075,2700,3500
WhistlePig Boss Hog III (The Independent),1758,1600,2000
WhistlePig Boss Hog IV (Black Prince),1420,1050,2250
WhistlePig Boss Hog V (Spirit of Mauve),745,650,800
WhistlePig Boss Hog VI (Samurai),704,625,800
WhistlePig Boss Hog VII (Magellan),669,575,825
WhistlePig Boss Hog VIII (LapuLapu),601,500,675
WhistlePig Boss Hog IX (Siren's Song),642,550,815
WhistlePig Piggybank,448,415,500
Widow Jane 13 Year,145,120,200
Widow Jane 14 Year,175,175,175
Widow Jane 15 Year,302,260,350
Widow Jane Decadence Maple Syrup,135,120,145
Widow Jane Paradigm Rye,85,85,85
Wild Turkey 12,176,160,190
Wild Turkey 17 Year LE,1650,1650,1650
Wild Turkey 1894,550,550,550
Wild Turkey American Spirit,806,800,825
Wild Turkey Diamond Anniversary,334,300,400
Wild Turkey Distillers Reserve 12 Year,342,300,375
Wild Turkey Father and Son,213,180,250
Wild Turkey Forgiven,262,160,350
Wild Turkey Freedom,300,300,300
Wild Turkey Kentucky Spirit,200,180,220
"Wild Turkey Master Distiller Selection, 14 Year",1800,1800,1800
Wild Turkey Masters Keep 17 Year,430,375,485
Wild Turkey Masters Keep 1894,625,550,700
Wild Turkey Masters Keep Cornerstone,345,320,350
Wild Turkey Masters Keep Decades,374,325,410
Wild Turkey Masters Keep One,324,285,350
Wild Turkey Masters Keep Revival,353,325,400
Wild Turkey Masters Keep Unforgotten,320,280,350
Wild Turkey Masters Keep Voyage,420,385,450
Wild Turkey Rare Breed,58,45,70
Wild Turkey Rare Breed Rye,63,50,75
Wild Turkey Tradition 14 Year,846,750,1050
Willet 80 Year Anniversary,380,300,450
Willet 8 Year Wheated,290,240,350
Willet Blackened,170,130,225
Willet Blackened Wes Henderson,150,150,150
Willet Family Estate 4 Year,350,350,350
Willet Family Estate 5 Year,550,550,550
Willet Family Estate 6 Year,498,300,750
Willet Family Estate 7 Year,639,400,825
Willet Family Estate 8 Year,640,500,900
Willet Family Estate 9 Year,750,500,1300
Willet Family Estate 10 Year,890,700,1050
Willet Family Estate 11 Year,1167,900,1600
Willet Family Estate 12 Year,1650,1500,1800
Willet Family Estate 13 Year,1885,1440,2400
Willet Family Estate 14 Year,2550,1800,3300
Willet Family Estate 15 Year,1550,1350,1800
Willet Family Estate 16 Year,1850,1400,2300
Willet Family Estate 17 Year,1836,1400,2250
Willet Family Estate 17 Year,1350,1350,1350
Willet Family Estate 19 Year,4500,3500,5500
Willet Family Estate 20 Year,6000,6000,6000
Willet Family Estate 22 Year,6850,6850,6850
Willet Family Estate 24 Year,12500,12500,12500
Willet Family Estate Ky. Bourbon/Ind. Rye Blend,226,150,265
Willet Family Estate 4 Year Rye,82,55,125
Willet Family Estate 5 Year Rye,317,300,350
Willet Family Estate 6 Year Rye,349,320,400
Willet Family Estate 7 Year Rye,407,325,500
Willet Family Estate 8 Year Rye,451,340,600
Willet Family Estate 9 Year Rye,500,450,575
Willet Family Estate 10 Year Rye,716,600,900
Willett Wolves B1,256,200,300
Willett Wolves B2,295,250,385
Willett XCF (Exploratory Cask Finish),700,700,700
William Heavenhill 12 Year,1220,1000,1500
William Heavenhill 13 Year,530,400,725
William Heavenhill 14 Year,880,800,950
William Heavenhill 15 Year,507,450,550
William Heavenhill 15 Year Cask Strength,3017,2250,3450
William Heavenhill 16 Year,852,700,1050
William Heavenhill Bottled-in-Bond,577,410,900
"William Heavenhill Signature (2nd edition, 175 bottles)",11250,10000,12500
William LaRue Weller (2002),6750,6750,6750
William LaRue Weller (2005),3133,2900,3300
William LaRue Weller (2007),2700,2650,2750
William LaRue Weller (2008),2480,2350,2650
William LaRue Weller (2009),3933,3800,4000
William LaRue Weller (2010),2290,2200,2400
William LaRue Weller (2011),2557,2100,2900
William LaRue Weller (2012),2228,2100,2400
William LaRue Weller (2013),2014,1900,2200
William LaRue Weller (2014),2945,2550,3300
William LaRue Weller (2015),1923,1750,2200
William LaRue Weller (2016),2034,1850,2200
William LaRue Weller (2017),1631,1550,1750
William LaRue Weller (2018),1598,1450,1800
William LaRue Weller (2019),1552,1450,1700
William LaRue Weller (2020),1659,1500,1870
William LaRue Weller (2021),1530,1400,1800
William LaRue Weller (2022),1462,1400,1525
Wolves B1,197,140,300
Wolves Winter Run #2,300,300,300
Woodford Reserve 5 Grain,375,375,375
Woodford Reserve Baccarat,1600,1400,1800
Woodford Reserve Barrel Finished Rye,113,100,125
Woodford Reserve Brandy Cask Finish,120,110,130
Woodford Reserve Chocolate Malt Whisper,110,70,140
Woodford Reserve Double Double Oaked,126,115,140
Woodford Reserve Double XO Blend,238,150,325
Woodford Reserve Five Wood,115,90,125
Woodford Reserve Four Grain,117,100,130
Woodford Reserve Honey Barrel Finish,122,100,135
Woodford Reserve Masters Collection 1838's Style White Corn,212,200,225
Woodford Reserve Masters Collection Aged Cask Rye,165,160,170
Woodford Reserve Masters Collection Batch Proof,201,160,260
Woodford Reserve Masters Collection Batch Proof 124.7,165,150,180
Woodford Reserve Masters Collection Brandy Cask Finish,236,150,350
Woodford Reserve Masters Collection Cherry Smoke,248,225,275
Woodford Reserve Masters Collection Chocolate Malted Rye,204,185,225
Woodford Reserve Masters Collection Classsic Malt,215,175,260
Woodford Reserve Masters Collection Five Malt Stouted Mash,147,100,200
Woodford Reserve Masters Collection Four Grain,700,700,700
Woodford Reserve Masters Collection Historic Barrel Entry,170,150,215
Woodford Reserve Masters Collection Maple Wood Finish,450,350,550
Woodford Reserve Masters Collection New Cask Rye,165,160,170
Woodford Reserve Masters Collection Oat Grain,195,185,200
Woodford Reserve Masters Collection Select American Oak,231,200,275
Woodford Reserve Masters Collection Sonoma Cutrer,394,225,500
Woodford Reserve Masters Collection Straight Malt,233,225,250
Woodford Reserve Masters Collection Very Fine Rare,203,180,220
Woodford Reserve Toasted Oat Grain,105,80,125
Woodford Reserve Wheat Whiskey Bottled-in-Bond,125,100,180
Woodinville Bourbon,82,72,100
Woodinville Caramel,105,105,105
Woodinville Grey Hen,135,135,135
Woodinville Moscatel Finished,120,120,120
Woodinville Rye,40,40,40
Yellowstone 150th Anniverary Family Recipe,154,125,200
Yellowstone Limited Edition 2015,256,220,275
Yellowstone Limited Edition 2017,235,175,325
Yellowstone Limited Edition 2018,225,180,300
Yellowstone Limited Edition 2019,223,175,250
Yellowstone Limited Edition 2020,180,150,200
Yellowstone Limited Edition 2021,190,150,250
Yellowstone Limited Edition 2022,154,115,200
Yellowstone Limited Edition Toasted Barrel,160,160,160
Yellowstone Single Barrel SP,80,50,110
